Province_Name,District_Name,Crop_Year,Season,Crop,Area,Yield
Sabaragamuwa,Ratnapura,2013,Yala,Rice,81390,250241
Central,Nuwara Eliya,2014,Maha,Maize,1317,1873
North Central,Anuradhapura,2014,Yala,Rice,2,3
Central,Nuwara Eliya,2014,Maha,Maize,8,21
North Central,Polonnaruwa,2014,Yala,Maize,34,132
Eastern,Ampara,2014,Maha,Rice,82231,228890
North Western,Puttalam,1997,Yala,Rice,19578,19904
Western,Gampaha,1997,Yala,Maize,1514,2095
Northern,Mullaitivu,1997,Yala,Maize,5615,9113
Uva,Monaragala,1997,Maha,Maize,3218,6008
Northern,Mullaitivu,1997,Yala,Rice,1472,2017
Sabaragamuwa,Kegalle,1997,Yala,Banana,86,402
North Central,Polonnaruwa,1997,Yala,Rice,65936,71543
Uva,Badulla,1998,Yala,Maize,1246,1915
Sabaragamuwa,Ratnapura,1998,Maha,Maize,5709,13884
Uva,Monaragala,1998,Yala,Maize,2779,4594
Central,Matale,1998,Yala,Rice,1122,1328
Sabaragamuwa,Ratnapura,1998,Yala,Banana,89,743
Central,Nuwara Eliya,1998,Yala,Rice,113070,101851
Central,Nuwara Eliya,1999,Maha,Maize,1184,2430
Uva,Badulla,1999,Yala,Rice,18926,11073
Southern,Matara,1999,Maha,Maize,5484,14302
Northern,Vavuniya,1999,Maha,Maize,2411,5801
Sabaragamuwa,Kegalle,1999,Maha,Rice,1081,2169
Western,Kalutara,1999,Yala,Banana,89,1072
Southern,Galle,2000,Maha,Rice,72415,68231
Northern,Mullaitivu,2000,Yala,Maize,1106,1899
Sabaragamuwa,Ratnapura,2000,Maha,Rice,19440,20077
North Central,Polonnaruwa,2000,Yala,Maize,5452,10446
Northern,Kilinochchi,2000,Yala,Maize,2344,7074
Western,Kalutara,2000,Yala,Rice,846,979
Eastern,Ampara,2000,Maha,Banana,86,825
Central,Matale,2001,Yala,Maize,876,1537
Eastern,Ampara,2001,Maha,Rice,56659,48341
Southern,Hambantota,2001,Yala,Rice,933,1063
Central,Matale,2001,Yala,Maize,5572,8759
Sabaragamuwa,Ratnapura,2001,Yala,Maize,2497,3992
Southern,Galle,2001,Maha,Rice,15146,15757
Western,Gampaha,2001,Maha,Banana,88,717
Uva,Monaragala,2002,Yala,Maize,1049,1606
Sabaragamuwa,Ratnapura,2002,Yala,Rice,26770,14628
Northern,Kilinochchi,2002,Yala,Maize,7044,18822
Uva,Monaragala,2002,Yala,Maize,1835,4243
Southern,Hambantota,2002,Yala,Rice,2657,3841
Northern,Mannar,2002,Yala,Banana,352,6530
Western,Colombo,2002,Maha,Rice,64638,51628
Eastern,Batticaloa,2003,Yala,Rice,26026,16740
Northern,Kilinochchi,2003,Maha,Maize,727,854
Eastern,Batticaloa,2003,Maha,Maize,8048,16273
Central,Matale,2003,Yala,Maize,2050,3928
North Central,Anuradhapura,2003,Yala,Rice,3705,5241
North Western,Puttalam,2003,Maha,Banana,91,894
Sabaragamuwa,Kegalle,2003,Maha,Rice,70987,80021
North Western,Puttalam,2004,Maha,Rice,31226,5893
Central,Matale,2004,Yala,Maize,1885,2464
Northern,Kilinochchi,2004,Yala,Maize,7220,15133
Central,Kandy,2004,Maha,Maize,2006,4126
North Western,Kurunegala,2004,Maha,Rice,3189,4700
North Western,Kurunegala,2004,Yala,Banana,100,2372
Sabaragamuwa,Kegalle,2004,Maha,Rice,59280,30463
Uva,Badulla,2005,Yala,Rice,28005,30023
Central,Matale,2005,Yala,Maize,2212,2885
North Central,Polonnaruwa,2005,Maha,Maize,7544,15179
Central,Nuwara Eliya,2005,Yala,Maize,3421,8687
Western,Gampaha,2005,Yala,Rice,2840,4619
Southern,Hambantota,2005,Maha,Banana,90,863
Southern,Matara,2005,Yala,Rice,55678,55900
North Western,Kurunegala,2006,Yala,Rice,27721,25533
Southern,Galle,2006,Maha,Maize,2198,3424
Eastern,Ampara,2006,Yala,Maize,7871,22424
North Central,Polonnaruwa,2006,Yala,Maize,3349,10519
Southern,Hambantota,2006,Yala,Rice,2572,3875
Northern,Mullaitivu,2006,Maha,Rice,44562,36021
Eastern,Batticaloa,2007,Yala,Maize,2607,780
Eastern,Ampara,2007,Maha,Rice,32989,10431
Central,Matale,2007,Yala,Maize,7553,26496
North Western,Puttalam,2007,Maha,Maize,3305,10011
Sabaragamuwa,Ratnapura,2007,Maha,Rice,2618,5196
Sabaragamuwa,Ratnapura,2007,Yala,Banana,84,1800
Western,Kalutara,2007,Maha,Rice,61112,26996
North Central,Polonnaruwa,2008,Yala,Maize,2027,2181
Central,Matale,2008,Yala,Rice,29180,30022
Sabaragamuwa,Kegalle,2008,Maha,Maize,7671,30178
North Western,Kurunegala,2008,Yala,Maize,2197,7096
Sabaragamuwa,Ratnapura,2008,Maha,Rice,1917,2826
Northern,Jaffna,2008,Yala,Rice,69407,96740
Eastern,Batticaloa,2009,Maha,Maize,1799,2617
Sabaragamuwa,Kegalle,2009,Maha,Rice,28901,31533
Central,Kandy,2009,Yala,Maize,8959,30272
Southern,Matara,2009,Yala,Maize,2629,8109
Southern,Galle,2009,Yala,Rice,1606,2058
Southern,Matara,2009,Yala,Rice,77036,84537
Central,Nuwara Eliya,2010,Maha,Maize,2407,5122
North Central,Anuradhapura,2010,Yala,Rice,32930,32889
Southern,Hambantota,2010,Maha,Maize,15746,47269
Western,Gampaha,2010,Maha,Maize,2353,10476
North Western,Puttalam,2010,Yala,Rice,2317,3819
Eastern,Batticaloa,2010,Yala,Rice,42986,38326
Southern,Hambantota,2011,Maha,Maize,1837,4398
Central,Matale,2011,Maha,Rice,37063,61962
Southern,Matara,2011,Yala,Maize,15478,38045
Sabaragamuwa,Ratnapura,2011,Yala,Maize,2287,7920
Southern,Matara,2011,Maha,Rice,2299,3709
Northern,Vavuniya,2011,Yala,Rice,24121,48821
Northern,Vavuniya,2012,Maha,Maize,1794,8149
Southern,Hambantota,2012,Maha,Rice,36524,58586
Eastern,Ampara,2012,Maha,Maize,15620,50968
Central,Nuwara Eliya,2012,Yala,Maize,2238,11040
Western,Colombo,2012,Maha,Rice,2292,4609
Western,Gampaha,2012,Yala,Rice,25511,41262
Southern,Galle,2013,Yala,Maize,1593,5141
Southern,Matara,2013,Maha,Rice,33995,58523
Northern,Jaffna,2013,Maha,Maize,15538,35706
Eastern,Trincomalee,2013,Yala,Maize,2291,11044
Southern,Galle,2013,Yala,Rice,2302,4198
Western,Kalutara,2013,Yala,Rice,43366,62268
Central,Nuwara Eliya,2014,Yala,Maize,1655,4394
North Central,Anuradhapura,2014,Maha,Rice,33535,51141
Sabaragamuwa,Ratnapura,2014,Yala,Maize,12522,37140
Southern,Matara,2014,Yala,Maize,581,1708
Southern,Hambantota,2014,Yala,Rice,2301,3889
Eastern,Trincomalee,2014,Maha,Rice,43145,79747
North Central,Polonnaruwa,1997,Yala,Rice,2816,4607
North Western,Puttalam,1997,Yala,Maize,8977,11257
Central,Matale,1997,Yala,Maize,110,330
Central,Nuwara Eliya,1997,Yala,Maize,986,2017
Northern,Mullaitivu,1997,Yala,Rice,359,698
Northern,Mullaitivu,1997,Maha,Rice,99537,149409
Uva,Badulla,1998,Yala,Maize,9751,8243
Western,Colombo,1998,Maha,Maize,56,167
Central,Matale,1998,Maha,Maize,712,1577
Eastern,Ampara,1998,Yala,Rice,103,214
Eastern,Trincomalee,1998,Yala,Rice,143425,227073
North Central,Anuradhapura,1999,Maha,Maize,4027,4961
Eastern,Batticaloa,1999,Maha,Rice,410,506
Southern,Galle,1999,Maha,Maize,136,409
Western,Gampaha,1999,Maha,Maize,842,1997
Southern,Matara,2000,Maha,Rice,143640,229890
Sabaragamuwa,Kegalle,2000,Yala,Maize,3983,3005
Central,Kandy,2000,Yala,Rice,1,2
Western,Colombo,2000,Yala,Maize,94,274
North Western,Kurunegala,2000,Maha,Maize,974,2671
North Western,Puttalam,2000,Yala,Rice,7,10
Sabaragamuwa,Kegalle,2000,Yala,Banana,30,630
Western,Colombo,2001,Maha,Maize,3244,3931
Uva,Badulla,2001,Yala,Rice,152978,257711
Uva,Monaragala,2001,Maha,Rice,7,12
Uva,Monaragala,2001,Maha,Maize,991,2289
Central,Matale,2001,Maha,Banana,29,651
Central,Kandy,2002,Yala,Maize,3071,3775
Uva,Badulla,2002,Maha,Maize,381,994
North Western,Puttalam,2002,Yala,Maize,1702,5492
Western,Gampaha,2002,Maha,Rice,143,219
Eastern,Batticaloa,2002,Yala,Banana,3,59
Western,Gampaha,2002,Maha,Rice,147292,243850
Uva,Monaragala,2003,Yala,Rice,1720,2124
Western,Gampaha,2003,Maha,Maize,4855,8303
North Central,Polonnaruwa,2003,Yala,Maize,238,721
Central,Nuwara Eliya,2003,Yala,Maize,2004,5572
Central,Kandy,2003,Yala,Rice,144,194
North Western,Puttalam,2003,Maha,Banana,2,33
Eastern,Trincomalee,2003,Maha,Rice,159125,244150
Uva,Monaragala,2004,Yala,Rice,13,12
North Western,Kurunegala,2004,Yala,Maize,6506,9265
North Western,Puttalam,2004,Yala,Maize,151,467
Eastern,Ampara,2004,Maha,Maize,1628,4908
Southern,Matara,2004,Yala,Rice,147,230
Uva,Badulla,2004,Maha,Rice,72244,13260
Central,Matale,2005,Yala,Rice,1253,1281
Eastern,Ampara,2005,Maha,Maize,4925,6267
North Central,Anuradhapura,2005,Yala,Maize,98,299
North Western,Kurunegala,2005,Maha,Maize,1216,2997
Eastern,Trincomalee,2005,Maha,Rice,29,41
Central,Matale,2005,Yala,Rice,53066,15466
Western,Colombo,2006,Yala,Rice,1209,1158
Central,Nuwara Eliya,2006,Yala,Maize,4940,6723
North Central,Anuradhapura,2006,Yala,Maize,90,325
Eastern,Ampara,2006,Yala,Maize,1226,4177
North Central,Polonnaruwa,2006,Maha,Rice,33,45
Uva,Monaragala,2006,Maha,Rice,53353,79414
Uva,Badulla,2007,Maha,Maize,4626,6634
Western,Kalutara,2007,Yala,Rice,321,184
North Western,Puttalam,2007,Maha,Maize,66,264
Southern,Matara,2007,Yala,Maize,1172,4218
Northern,Mannar,2007,Maha,Rice,39,48
North Central,Polonnaruwa,2007,Maha,Rice,133599,294252
Western,Gampaha,2008,Yala,Maize,3862,4598
Central,Nuwara Eliya,2008,Yala,Rice,34,45
Eastern,Trincomalee,2008,Yala,Maize,88,310
North Western,Kurunegala,2008,Maha,Maize,747,2417
Northern,Mannar,2008,Maha,Rice,124534,220352
Eastern,Batticaloa,2009,Maha,Maize,4941,7168
Central,Matale,2009,Yala,Rice,884,830
Northern,Kilinochchi,2009,Maha,Maize,62,161
Central,Kandy,2009,Maha,Maize,657,2036
Central,Kandy,2009,Maha,Rice,53204,66286
Central,Nuwara Eliya,2010,Yala,Maize,2863,6080
Uva,Monaragala,2010,Maha,Rice,28,27
Northern,Mannar,2010,Maha,Maize,173,671
Central,Matale,2010,Maha,Maize,508,2140
Southern,Matara,2010,Maha,Rice,15,28
Northern,Kilinochchi,2010,Yala,Rice,48819,53247
Uva,Monaragala,2011,Maha,Maize,4374,8933
North Central,Anuradhapura,2011,Yala,Rice,33,53
North Central,Anuradhapura,2011,Maha,Maize,94,431
North Western,Kurunegala,2011,Yala,Maize,689,3073
Sabaragamuwa,Ratnapura,2011,Maha,Rice,13,19
Southern,Matara,2011,Yala,Rice,88194,284176
North Central,Polonnaruwa,2012,Maha,Maize,5476,20827
Uva,Badulla,2012,Maha,Rice,360,640
Sabaragamuwa,Ratnapura,2012,Maha,Maize,94,307
Central,Nuwara Eliya,2012,Maha,Maize,689,3734
Central,Kandy,2012,Yala,Rice,13,30
Western,Kalutara,2012,Yala,Rice,124432,407456
Sabaragamuwa,Kegalle,2013,Yala,Maize,6430,16687
Uva,Monaragala,2013,Maha,Rice,196,302
Southern,Hambantota,2013,Yala,Maize,258,1174
Sabaragamuwa,Ratnapura,2013,Maha,Maize,1165,5616
North Central,Anuradhapura,2013,Yala,Rice,60920,120922
Southern,Matara,2014,Maha,Maize,6357,12382
Western,Kalutara,2014,Maha,Rice,1351,2349
Southern,Galle,2014,Maha,Maize,226,820
Central,Kandy,2014,Maha,Maize,848,3480
Western,Kalutara,2014,Maha,Rice,104005,335997
North Central,Anuradhapura,1997,Yala,Rice,73672,119083
Northern,Jaffna,1997,Maha,Maize,9381,17890
North Central,Polonnaruwa,1997,Yala,Maize,8109,22973
North Central,Polonnaruwa,1997,Yala,Maize,2724,5497
Eastern,Batticaloa,1997,Maha,Rice,27,49
Central,Matale,1997,Maha,Banana,28,678
Central,Nuwara Eliya,1997,Yala,Rice,30205,52009
Uva,Monaragala,1998,Yala,Maize,9734,8933
Eastern,Batticaloa,1998,Maha,Maize,7096,18513
North Western,Kurunegala,1998,Yala,Maize,2125,2326
North Central,Polonnaruwa,1998,Yala,Rice,21,41
Uva,Badulla,1998,Yala,Banana,20,364
Eastern,Batticaloa,1998,Maha,Rice,29348,42463
Western,Kalutara,1999,Yala,Maize,9323,13056
Southern,Matara,1999,Maha,Rice,60993,82444
Southern,Hambantota,1999,Yala,Maize,5321,14931
Central,Matale,1999,Yala,Maize,2179,5440
Eastern,Batticaloa,1999,Maha,Rice,40,106
North Central,Anuradhapura,1999,Maha,Banana,13,175
North Central,Anuradhapura,2000,Maha,Rice,33539,44197
Northern,Vavuniya,2000,Maha,Maize,10607,27203
Southern,Hambantota,2000,Yala,Rice,58693,68344
Uva,Badulla,2000,Yala,Maize,5886,20236
Eastern,Ampara,2000,Yala,Maize,2014,4051
North Central,Polonnaruwa,2000,Yala,Rice,33,61
Northern,Mannar,2000,Yala,Banana,18,378
Eastern,Trincomalee,2001,Yala,Maize,7234,12278
Sabaragamuwa,Ratnapura,2001,Yala,Rice,30016,50185
North Central,Anuradhapura,2001,Maha,Rice,35,72
Sabaragamuwa,Kegalle,2001,Yala,Maize,5798,18948
Eastern,Batticaloa,2001,Maha,Maize,2018,4902
North Central,Polonnaruwa,2001,Yala,Rice,64232,74536
Sabaragamuwa,Ratnapura,2001,Yala,Banana,53,1190
North Western,Kurunegala,2002,Yala,Maize,8686,10853
Northern,Vavuniya,2002,Yala,Rice,63321,78016
Uva,Badulla,2002,Maha,Maize,6349,7822
Southern,Matara,2002,Yala,Maize,2001,5216
Northern,Mullaitivu,2002,Yala,Rice,11,19
Sabaragamuwa,Ratnapura,2002,Yala,Banana,15,295
North Central,Polonnaruwa,2002,Yala,Rice,30865,32083
North Western,Kurunegala,2003,Yala,Rice,61274,91873
North Western,Puttalam,2003,Yala,Maize,11069,13453
Southern,Matara,2003,Maha,Maize,6407,21130
North Western,Puttalam,2003,Maha,Maize,1957,7595
Northern,Jaffna,2003,Maha,Rice,11,16
North Western,Kurunegala,2003,Maha,Banana,13,215
Southern,Matara,2003,Maha,Rice,29840,42543
North Western,Kurunegala,2004,Maha,Rice,61615,79645
North Western,Kurunegala,2004,Maha,Maize,8631,13984
Western,Gampaha,2004,Yala,Maize,6206,16551
Northern,Vavuniya,2004,Maha,Maize,1876,6112
Sabaragamuwa,Ratnapura,2004,Maha,Rice,13,18
Central,Matale,2004,Maha,Banana,13,167
North Western,Kurunegala,2004,Maha,Rice,28210,42968
Uva,Badulla,2005,Yala,Rice,58317,39129
North Western,Puttalam,2005,Maha,Maize,8009,13036
Western,Colombo,2005,Maha,Maize,6405,11209
Sabaragamuwa,Ratnapura,2005,Maha,Maize,1906,3174
Uva,Badulla,2005,Maha,Banana,19,291
Uva,Badulla,2005,Yala,Rice,32678,13309
Northern,Jaffna,2006,Yala,Rice,51736,64795
Southern,Hambantota,2006,Maha,Maize,7592,11414
Southern,Galle,2006,Yala,Maize,5626,11134
Sabaragamuwa,Kegalle,2006,Maha,Maize,1707,5611
Southern,Matara,2006,Yala,Rice,24065,25164
Eastern,Batticaloa,2007,Yala,Maize,7375,3850
Western,Gampaha,2007,Yala,Rice,54485,47243
Central,Nuwara Eliya,2007,Yala,Maize,5702,11849
Central,Nuwara Eliya,2007,Maha,Maize,1998,3660
Northern,Mannar,2007,Yala,Banana,23,301
Northern,Mannar,2007,Maha,Rice,27285,25321
Central,Kandy,2008,Maha,Maize,7727,9680
Southern,Hambantota,2008,Yala,Rice,59512,74978
North Central,Polonnaruwa,2008,Yala,Maize,5378,9159
Eastern,Batticaloa,2008,Yala,Maize,1495,4879
North Western,Puttalam,2008,Maha,Rice,26995,30848
Sabaragamuwa,Ratnapura,2009,Maha,Maize,8102,9425
Western,Colombo,2009,Yala,Rice,60987,53444
North Central,Anuradhapura,2009,Maha,Maize,5789,29692
Eastern,Ampara,2009,Yala,Maize,1587,2727
North Western,Kurunegala,2009,Yala,Rice,29026,25563
Northern,Jaffna,2010,Yala,Maize,8468,4286
Eastern,Batticaloa,2010,Yala,Rice,62233,62637
Central,Matale,2010,Maha,Maize,5964,29331
Eastern,Batticaloa,2010,Yala,Maize,1934,5699
Sabaragamuwa,Kegalle,2010,Maha,Rice,26336,21453
Uva,Badulla,2011,Maha,Maize,6775,13228
Northern,Kilinochchi,2011,Maha,Rice,60607,111917
Western,Gampaha,2011,Yala,Maize,5193,18456
Western,Kalutara,2011,Maha,Maize,1899,7023
Eastern,Ampara,2011,Yala,Rice,29790,72625
Uva,Monaragala,2012,Maha,Maize,6758,22279
North Western,Kurunegala,2012,Yala,Rice,58866,127353
North Central,Anuradhapura,2012,Yala,Maize,5461,18698
North Western,Puttalam,2012,Maha,Maize,2018,5731
North Central,Polonnaruwa,2012,Maha,Rice,28816,82729
Uva,Badulla,2013,Maha,Maize,6044,15786
North Central,Polonnaruwa,2013,Yala,Rice,54642,87882
Sabaragamuwa,Ratnapura,2013,Yala,Maize,4578,12425
Eastern,Trincomalee,2013,Yala,Maize,1392,6708
North Western,Kurunegala,2013,Maha,Rice,30239,45090
Sabaragamuwa,Ratnapura,2014,Yala,Maize,5803,14214
North Western,Kurunegala,2014,Yala,Rice,55887,104540
Eastern,Batticaloa,2014,Yala,Maize,9399,25819
Southern,Matara,2014,Yala,Maize,1488,5162
North Central,Polonnaruwa,2014,Maha,Rice,28891,61283
Uva,Badulla,1997,Yala,Maize,4680,5800
Southern,Matara,1997,Maha,Maize,388,1465
Southern,Galle,1997,Yala,Maize,297,647
Western,Kalutara,1997,Yala,Rice,112,226
Central,Matale,1997,Yala,Rice,31966,36808
Sabaragamuwa,Ratnapura,1998,Maha,Maize,3634,617
Sabaragamuwa,Ratnapura,1998,Yala,Maize,173,619
Sabaragamuwa,Kegalle,1998,Maha,Maize,370,919
Sabaragamuwa,Ratnapura,1998,Yala,Rice,91,203
Southern,Hambantota,1998,Maha,Rice,43790,46941
Sabaragamuwa,Kegalle,1999,Yala,Maize,5070,8085
Central,Nuwara Eliya,1999,Maha,Maize,215,786
Northern,Vavuniya,1999,Maha,Maize,833,2922
Eastern,Trincomalee,1999,Yala,Rice,61,132
Sabaragamuwa,Kegalle,2000,Yala,Rice,47556,50836
Uva,Monaragala,2000,Maha,Maize,5758,7525
Northern,Mullaitivu,2000,Yala,Maize,125,458
Uva,Badulla,2000,Yala,Maize,345,957
Uva,Badulla,2000,Yala,Rice,41,57
North Western,Puttalam,2001,Maha,Maize,5382,9965
Uva,Badulla,2001,Maha,Rice,37942,27533
Sabaragamuwa,Kegalle,2001,Yala,Rice,39,65
North Western,Kurunegala,2001,Yala,Maize,171,646
Western,Colombo,2001,Maha,Maize,341,803
Southern,Matara,2002,Yala,Maize,5949,6331
Uva,Monaragala,2002,Yala,Maize,273,616
Central,Matale,2002,Maha,Maize,311,613
Eastern,Trincomalee,2002,Yala,Rice,53386,70195
Uva,Badulla,2003,Maha,Maize,6101,8309
Western,Kalutara,2003,Yala,Maize,226,742
North Central,Anuradhapura,2003,Maha,Maize,323,1077
Western,Colombo,2003,Maha,Rice,52784,60080
North Central,Anuradhapura,2004,Yala,Maize,5633,2980
Western,Colombo,2004,Maha,Maize,216,682
Southern,Galle,2004,Yala,Maize,349,771
Eastern,Ampara,2004,Maha,Rice,48284,20970
Western,Colombo,2005,Maha,Maize,5330,2896
North Central,Polonnaruwa,2005,Yala,Maize,56,221
Uva,Monaragala,2005,Yala,Maize,164,342
Southern,Hambantota,2005,Maha,Rice,38706,16931
Southern,Galle,2006,Yala,Maize,4725,4495
Uva,Badulla,2006,Maha,Maize,92,455
Central,Matale,2006,Maha,Maize,216,661
North Western,Puttalam,2006,Maha,Rice,50289,88727
Eastern,Ampara,2007,Yala,Maize,4135,14158
Eastern,Batticaloa,2007,Maha,Rice,7,
Central,Kandy,2007,Yala,Maize,211,1063
North Western,Puttalam,2007,Maha,Maize,202,596
Eastern,Ampara,2007,Maha,Rice,43788,81148
North Central,Polonnaruwa,2008,Yala,Maize,3967,5977
Northern,Kilinochchi,2008,Yala,Maize,211,793
Northern,Mannar,2008,Yala,Maize,225,720
Eastern,Batticaloa,2008,Maha,Rice,41565,71441
Sabaragamuwa,Kegalle,2009,Maha,Maize,2753,4614
Eastern,Batticaloa,2009,Yala,Rice,23,22
Uva,Badulla,2009,Yala,Maize,15,39
Uva,Badulla,2009,Yala,Maize,32,48
North Western,Puttalam,2009,Maha,Rice,37662,34745
Southern,Matara,2010,Maha,Maize,2746,7008
North Central,Anuradhapura,2010,Maha,Rice,24,26
Central,Kandy,2010,Yala,Maize,20,84
Eastern,Ampara,2010,Maha,Maize,34,79
North Central,Polonnaruwa,2010,Yala,Rice,35742,14950
Central,Kandy,2011,Yala,Maize,2754,6743
Uva,Monaragala,2011,Yala,Rice,27,43
Western,Colombo,2011,Maha,Maize,20,126
North Central,Polonnaruwa,2011,Maha,Maize,37,135
Northern,Mullaitivu,2011,Maha,Rice,49101,102308
Eastern,Trincomalee,2012,Yala,Maize,2602,3433
North Western,Kurunegala,2012,Maha,Rice,24,30
Northern,Kilinochchi,2012,Maha,Maize,20,68
Southern,Galle,2012,Yala,Maize,39,235
Sabaragamuwa,Kegalle,2012,Yala,Rice,49939,73285
Central,Nuwara Eliya,2013,Yala,Maize,2672,3981
Uva,Badulla,2013,Maha,Rice,23,28
Eastern,Ampara,2013,Yala,Maize,24,106
North Western,Kurunegala,2013,Yala,Maize,85,167
Western,Gampaha,2013,Maha,Rice,50321,91599
Uva,Badulla,2014,Yala,Maize,2065,3597
Eastern,Batticaloa,2014,Yala,Maize,227,785
Western,Colombo,2014,Maha,Maize,506,1968
North Western,Kurunegala,2014,Yala,Rice,42837,87453
Sabaragamuwa,Ratnapura,1997,Maha,Rice,3,3
Northern,Mullaitivu,1997,Yala,Maize,8,10
Northern,Mullaitivu,1997,Maha,Maize,670,2011
Uva,Badulla,1997,Yala,Maize,214,452
Eastern,Ampara,1997,Yala,Rice,124,250
Eastern,Ampara,1997,Maha,Rice,90101,125150
North Western,Puttalam,1998,Maha,Maize,8,8
Sabaragamuwa,Kegalle,1998,Maha,Maize,464,1384
Eastern,Trincomalee,1998,Yala,Maize,204,475
North Western,Kurunegala,1998,Yala,Rice,121,270
Southern,Galle,1998,Yala,Rice,87698,154640
Uva,Monaragala,1999,Maha,Maize,9,12
Southern,Hambantota,1999,Yala,Rice,3,3
Uva,Badulla,1999,Maha,Maize,291,876
Western,Gampaha,1999,Yala,Maize,181,435
North Western,Kurunegala,1999,Maha,Rice,52,66
North Western,Puttalam,2000,Maha,Rice,86255,134076
North Central,Anuradhapura,2000,Maha,Maize,284,212
Western,Colombo,2000,Maha,Rice,3,4
North Western,Kurunegala,2000,Yala,Maize,243,710
Eastern,Ampara,2000,Maha,Maize,290,789
Uva,Badulla,2000,Yala,Rice,37,53
Southern,Matara,2001,Yala,Maize,673,6807
Uva,Monaragala,2001,Maha,Rice,84038,163470
Northern,Mannar,2001,Maha,Rice,2,3
North Central,Polonnaruwa,2001,Yala,Maize,178,591
North Western,Puttalam,2001,Yala,Maize,362,900
Sabaragamuwa,Ratnapura,2001,Yala,Rice,3,3
Central,Kandy,2002,Maha,Maize,705,813
North Central,Anuradhapura,2002,Yala,Rice,177,194
North Western,Kurunegala,2002,Yala,Maize,219,572
Southern,Matara,2002,Yala,Maize,249,684
North Western,Kurunegala,2002,Yala,Rice,2,3
Central,Matale,2002,Yala,Rice,61161,100482
Southern,Galle,2003,Yala,Maize,354,605
Uva,Monaragala,2003,Maha,Maize,139,421
Southern,Galle,2003,Maha,Maize,185,516
North Central,Anuradhapura,2003,Maha,Rice,44571,80925
Uva,Monaragala,2004,Maha,Maize,353,470
North Western,Puttalam,2004,Maha,Maize,168,520
Western,Kalutara,2004,Yala,Maize,158,493
North Western,Kurunegala,2004,Maha,Rice,34334,13230
Central,Nuwara Eliya,2005,Yala,Maize,308,330
Western,Colombo,2005,Maha,Maize,134,408
North Western,Kurunegala,2005,Maha,Maize,148,362
Sabaragamuwa,Kegalle,2005,Maha,Rice,46362,41425
North Central,Anuradhapura,2006,Maha,Maize,690,959
Sabaragamuwa,Kegalle,2006,Yala,Maize,195,705
Uva,Monaragala,2006,Yala,Maize,395,1403
Northern,Vavuniya,2006,Maha,Rice,7,9
North Western,Puttalam,2006,Yala,Rice,84713,156034
Eastern,Ampara,2007,Maha,Maize,1192,1510
Eastern,Trincomalee,2007,Yala,Maize,60,240
Southern,Matara,2007,Maha,Maize,187,665
Sabaragamuwa,Ratnapura,2007,Yala,Rice,2,2
North Central,Polonnaruwa,2007,Yala,Rice,52706,91399
North Western,Kurunegala,2008,Maha,Maize,561,645
Central,Kandy,2008,Maha,Maize,37,130
Southern,Hambantota,2008,Yala,Maize,193,626
Uva,Badulla,2008,Yala,Rice,57835,145344
Western,Kalutara,2009,Maha,Maize,538,783
Uva,Monaragala,2009,Maha,Maize,40,104
North Western,Puttalam,2009,Maha,Maize,190,590
Northern,Kilinochchi,2009,Maha,Rice,11333,19179
Western,Gampaha,2010,Yala,Maize,518,938
Sabaragamuwa,Kegalle,2010,Yala,Maize,51,198
North Western,Puttalam,2010,Maha,Maize,197,769
Northern,Mannar,2010,Yala,Rice,11502,15067
Sabaragamuwa,Kegalle,2011,Maha,Maize,1015,2063
Northern,Kilinochchi,2011,Yala,Maize,56,257
Sabaragamuwa,Ratnapura,2011,Yala,Maize,215,974
North Central,Polonnaruwa,2011,Yala,Rice,53698,151552
Eastern,Batticaloa,2012,Yala,Maize,1027,3608
Uva,Badulla,2012,Maha,Maize,67,219
North Central,Polonnaruwa,2012,Maha,Maize,216,1299
Western,Colombo,2012,Yala,Rice,54368,207869
Southern,Matara,2013,Yala,Maize,1115,3069
Eastern,Batticaloa,2013,Maha,Maize,60,273
North Central,Polonnaruwa,2013,Maha,Maize,224,1080
North Western,Puttalam,2013,Maha,Rice,42526,118972
Northern,Mullaitivu,2014,Yala,Maize,178,412
Western,Gampaha,2014,Maha,Maize,54,196
North Western,Puttalam,2014,Maha,Maize,219,922
Eastern,Trincomalee,2014,Maha,Rice,35877,118140
Northern,Jaffna,1997,Yala,Rice,367,395
Western,Gampaha,1997,Yala,Maize,263,134
Southern,Hambantota,1997,Maha,Maize,12,23
Eastern,Batticaloa,1997,Maha,Rice,108363,216228
Western,Kalutara,1998,Yala,Maize,240,446
North Central,Polonnaruwa,1998,Yala,Maize,11,24
Western,Kalutara,1998,Yala,Rice,105981,252765
Eastern,Batticaloa,1999,Maha,Maize,274,610
North Central,Polonnaruwa,1999,Maha,Rice,400,426
North Western,Puttalam,1999,Yala,Maize,12,28
Eastern,Batticaloa,2000,Maha,Rice,99126,192768
Central,Matale,2000,Yala,Maize,266,580
Southern,Hambantota,2000,Yala,Rice,374,461
Central,Nuwara Eliya,2000,Yala,Maize,9,26
Uva,Monaragala,2000,Maha,Banana,5,105
Northern,Mullaitivu,2001,Maha,Maize,269,452
Sabaragamuwa,Ratnapura,2001,Maha,Rice,108386,271151
Southern,Hambantota,2001,Yala,Maize,32,66
Central,Matale,2001,Yala,Rice,287,327
Sabaragamuwa,Kegalle,2002,Maha,Maize,383,601
